[Link],link_id,from_node_id,to_node_id,direction,length,number_of_lanes,speed_limit,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,mode_code,grade,geometry,original_geometry,BPR_alpha_term,BPR_beta_term,number_of_left_turn_lanes,length_of_left_turn_lanes,number_of_right_turn_lanes,length_of_right_turn_lanes,from_approach,to_approach,reversed_link_id
,0,5820,1320,1,0.34452,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.929329,40.603412,0.0 -111.934214,40.600084,0.0</coordinates></LineString>","<LineString><coordinates>-111.929267,40.603321,0.0 -111.934152,40.599993,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1320,11148,1,0.25271,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934174,40.600100,0.0 -111.938815,40.599146,0.0</coordinates></LineString>","<LineString><coordinates>-111.934152,40.599993,0.0 -111.938793,40.599039,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11148,1320,1,0.25271,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.938771,40.598932,0.0 -111.934130,40.599886,0.0</coordinates></LineString>","<LineString><coordinates>-111.938793,40.599039,0.0 -111.934152,40.599993,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1322,5589,1,0.22293,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934458,40.590996,0.0 -111.934172,40.587771,0.0</coordinates></LineString>","<LineString><coordinates>-111.934349,40.591006,0.0 -111.934063,40.587781,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,5589,1322,1,0.22293,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.933954,40.587791,0.0 -111.934240,40.591016,0.0</coordinates></LineString>","<LineString><coordinates>-111.934063,40.587781,0.0 -111.934349,40.591006,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1322,11161,1,0.26698,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934348,40.590896,0.0 -111.929271,40.590937,0.0</coordinates></LineString>","<LineString><coordinates>-111.934349,40.591006,0.0 -111.929272,40.591047,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11161,1322,1,0.26698,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.929273,40.591157,0.0 -111.934350,40.591116,0.0</coordinates></LineString>","<LineString><coordinates>-111.929272,40.591047,0.0 -111.934349,40.591006,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1323,5592,1,0.26972,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.921526,40.591630,0.0 -111.922283,40.587763,0.0</coordinates></LineString>","<LineString><coordinates>-111.921418,40.591609,0.0 -111.922175,40.587742,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,5592,1323,1,0.26972,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.922067,40.587721,0.0 -111.921310,40.591588,0.0</coordinates></LineString>","<LineString><coordinates>-111.922175,40.587742,0.0 -111.921418,40.591609,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1325,10853,1,0.15826,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.907450,40.592234,0.0 -111.904441,40.592275,0.0</coordinates></LineString>","<LineString><coordinates>-111.907451,40.592344,0.0 -111.904442,40.592385,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,10853,1325,1,0.15826,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.904443,40.592495,0.0 -111.907452,40.592454,0.0</coordinates></LineString>","<LineString><coordinates>-111.904442,40.592385,0.0 -111.907451,40.592344,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
